iter	Passed	Remaining
576	92207	36595
577	92368	36436
578	92521	36273
579	92689	36116
580	92844	35955
581	93010	35798
582	93164	35635
583	93332	35478
584	93481	35315
585	93642	35155
586	93799	34994
587	93963	34836
588	94110	34672
589	94280	34516
590	94429	34352
591	94589	34192
592	94745	34031
593	94909	33873
594	95064	33711
595	95233	33555
